DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,colaboradores,lat,lon
"X497+94Q, AV. TORREON, LIMA 15487",ATE,LIMA,LIMA,2,-12.0387281,-76.896873
ZONA INDUSTRIAL LOTE 7MARCONA,MARCONA,NAZCA,ICA,1,-15.2155331,-75.0830344
"98RJ+6CC, CTRA. PANAMERICANA SUR, SAN ANTONIO 15600",SAN ANTONIO,LIMA,LIMA,1,-11.8064482,-76.7874076
A. TUPAC AMARU N° 7879 URB. SAN JUAN BAUTISTA,COMAS,LIMA,LIMA,1,-11.9573015,-77.049757
"AA HH VILLA LOS REYES, MZ.E - LT.3, SECTOR 2",VENTANILLA,CALLAO,LIMA,1,-11.8373115,-77.1262405
"AAHH INTEGRACION LATINOAMERICANA, MZ. Y LT. 43.. ILO. ILO. MOQUEGUA",ILO,ILO,MOQUEGUA,1,-17.6458772,-71.3452005
AGUSTIN GAMARRA 715,LA VICTORIA,LIMA,LIMA,1,-12.0668708,-77.1575029
"AH. CIUDAD NUEVA MZ. 83, LT 15, COMITE 21. CIUDAD NUEVA. TACNA",CIUDAD NUEVA,TACNA,TACNA,1,-17.8513161,-70.1932649
APV PUEBLO LIBERTADOR MZ B LT 2 - 3 (A 1 CDRA. DEL PARADERO CACHIMAYO),SAN SEBASTIAN,CUSCO,CUSCO,1,-13.5336964,-71.9221543
ASENTAMIENTO POBLACIONAL ASOCIACION PRO VIVIENDA DE INTERES SOCIAL JAVIER LUNA PIZARRO MZ I LT 13 AUTOPISTA S/N,CERRO COLORADO,AREQUIPA,AREQUIPA,1,-16.2979991,-71.573948
ASENTAMIENTO POBLACIONAL ASOCIACION URBANIZADORA CIUDAD DE DIOS MZ O LOTE 5 SECTOR A,YURA,AREQUIPA,AREQUIPA,1,-16.2528829,-71.681378
"ATV SUR, CENTRO COMERCIAL CAYMA",CAYMA,AREQUIPA,AREQUIPA,1,-16.2793942,-71.4603116
"AU. PANAMERICANA NTE. 1057, PUENTE PIEDRA 15118",PUENTE PIEDRA,LIMA,LIMA,1,-11.8667978,-77.0778382
"AURELIO SOUZA 192, BARRANCO 15049",BARRANCO,LIMA,LIMA,1,-12.1391126,-77.0154175
SECTOR 1 MZ 129 LOTE 6 CENTRO POBLADO HUAMACHUCO,HUAMACHUCO,SANCHEZ CARRION,LA LIBERTAD,1,-7.8154676,-78.0487063
SECTOR PACHACHACA LT. G-1 YAULI,YAULI,JAUJA,JUNIN,1,-11.7129511,-75.4746334
"PUEBLO JOVEN PAMPLONA ALTA, MZ.A - LT.18",SAN JUAN DE MIRAFLORES,LIMA,LIMA,1,-12.1628581,-76.9635192
PUEBLO JOVEN CIUDAD BLANCA MZ R LOTE 6 ZONA C,PAUCARPATA,AREQUIPA,AREQUIPA,1,-16.4210931,-71.474928
PUEBLO JOVEN APURIMAC MZ L LOTE 1,ALTO SELVA ALEGRE,AREQUIPA,AREQUIPA,1,-16.3376419,-71.4968918
"PROLONGACION JR. 28 DE JULIO CDRA. 2 MZ 46, LOTE 10 (ANTES CENTRO POBLADO SAN MIGUEL DE PALLAQUES)",SAN MIGUEL,SAN MIGUEL,CAJAMARCA,1,-7.0698752,-78.9291686
AV EJERCITO 1055 CAYMA - AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,1,-16.3889625,-71.5496745
"AV DIONISIO DERTEANO 184, OFIC. 1001, SAN ISIDRO",SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
AV CARLOS IZAGUIRRE 524-526- LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,1,-11.9911039,-77.0718209
"AV CANAVAL Y MOREIRA 452 , SAN ISIDRO PISO 10",SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
AV ARGENTINA 3088 CERCADO DE LIMA,CERCADO DE LIMA,LIMA,LIMA,1,-12.0442341,-77.0471648
"AV ALEJANDRO TIRADO, 629 LIMA/ AV ALEJANDRO TIRADO, 344",LIMA,LIMA,LIMA,1,-12.0459808,-77.0305912
AV AGUSTIN GAMARRA 835 - HUARAZ,HUARAZ,HUARAZ,HUARAZ,1,-9.5355483,-77.5277249
AV 9 DE NOVIEMBRE 139,CAMANA,CAMANA,AREQUIPA,1,-16.6247458,-72.7132572
AV 3 DE ABRIL MZA C-2 LOTE 4,APLAO,CASTILLA,AREQUIPA,1,-16.0764611,-72.4921172
AV 27 DE NOVIEMBRE 251,LA MATANZA,MORROPON,PIURA,1,-12.0307215,-77.0840704
AV 24 DE JUNIO N° 121,POMALCA,CHICLAYO,LAMBAYEQUE,1,-12.1670466,-76.9234502
"PROLONGACION AV. GRAU N° 2216, MZ ""A"", LOTE N° 26, URBANIZACION LAS MERCEDES",PIURA,PIURA,PIURA,1,-5.1971376,-80.6267237
AV. PRIMAVERA N° 781 OFICINAS 401 Y 402,SAN BORJA,LIMA,LIMA,1,-12.0964515,-76.9956899
"AV. PRIMAVERA 607, SAN BORJA 15037",SAN BORJA,LIMA,LIMA,1,-12.1112442,-76.9923913
AV. VALLEJO 264 - TRUJILLO - LA LIBERTAD,TRUJILLO,TRUJILLO,LA LIBERTAD,1,-8.1111963,-79.0182174
"AV. URUGUAY N°767-777, URB. SAN JOSE DE PICHCUS",HUANCAYO,HUANCAYO,JUNIN,1,-12.068098,-75.2100953
AV. TUPAC AMARU N° 3857 – 3861,COMAS,LIMA,LIMA,1,-11.9748202,-76.749978
"AV. TUPAC AMARU 3001 - URB. HUAQUILLAY, COMAS (SEGUNDO PISO)",COMAS,LIMA,LIMA,1,-11.9573015,-77.049757
AV. TRINIDAD MORAN 103 - CAYMA,CAYMA,AREQUIPA,AREQUIPA,1,-16.3916704,-71.5484627
AV. RETAMALES N° 140,SAN JERONIMO,CUSCO,CUSCO,1,-13.5476646,-71.8952783
AV. REPUBLICA DE PANAMA 4679,SURQUILLO,LIMA,LIMA,1,-12.1386662,-77.0177158
AV. RAMON MUJICA 108 PISO 3,PIURA,PIURA,PIURA,1,-5.1971376,-80.6267237
AV. RAMON CASTILLA N° 860. LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,1,-6.7899387,-79.8540446
AV. PUENTE PIEDRA NRO. 200 URB. CERCADO DE PUENTE PIEDRA LIMA - LIMA PUENTE PIEDRA,PUENTE PIEDRA,LIMA,LIMA,1,-11.8667978,-77.0778382
AV. TOMAS MARSANO CDRA. 28,SANTIAGO DE SURCO,LIMA,LIMA,1,-12.1251049,-76.9821605
"AV. TANTAMAYO MZ D LOTE 23, ASOCIACION SAN JUAN BAUTISTA",SAN MARTIN DE PORRES,LIMA,LIMA,1,-11.9814786,-77.0963114
AV. SIMON BOLIVAR 360 JOSE LEONARDO ORTIZ,MOSHOQUEQUE,CHICLAYO,CHICLAYO,1,-6.7461775,-79.839677
"AV. SANTO TORIBIO 173, EDIFICIO REAL 8, PISO 3 OFICINA 302 CENTRO EMPRESARIAL SAN ISIDRO",SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
"AV. PRIMAVERA 607, OF. 409 - 302 -308, SAN BORJA",SAN BORJA,LIMA,LIMA,1,-12.0964515,-76.9956899
AV. PINTO MZ. K LT 7 (FRENTE POLVOS ROSADOS),TACNA,TACNA,TACNA,1,-18.01386,-70.2511032
"AV. PETIT THOUARS 4110, MIRAFLORES",MIRAFLORES,LIMA,LIMA,1,-12.116375,-77.0282801
AV. PETIT THOUARS 315,CERCADO DE LIMA,LIMA,LIMA,1,-12.081426,-77.0337666
AV. PERU 3612 - SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,LIMA,LIMA,1,-12.0306115,-77.0865467
"AV. PERU 3328, SAN MARTIN DE PORRES 15106",SAN MARTIN DE PORRES,LIMA,LIMA,1,-12.0309917,-77.0833024
